611.9,634.4,320.6
968.9,756.9,648.6
232.2,850.3,8.7
195.4,855.4,569.3
575.2,183.6,634.9
272.2,1.1,184.3
241.8,288.8,740.2
528.0,873.6,240.0
369.4,460.4,622.4
708.3,913.8,596.2
368.0,32.1,308.3
299.5,648.9,525.8
538.5,692.1,742.8
542.3,561.5,974.1
445.5,166.6,193.2
428.4,943.7,940.1
946.7,969.5,320.6
584.6,232.4,15.5
804.8,259.0,277.7
725.0,916.9,318.9
631.8,114.7,389.6
901.7,118.8,74.6
398.3,146.0,892.3
529.6,947.1,237.0
451.3,985.7,246.2
673.7,813.6,496.7
779.4,861.7,90.9
726.4,434.4,790.9
152.8,511.0,807.8
321.3,38.1,62.5
938.7,916.6,406.6
487.4,674.8,111.6
614.2,362.5,626.1
390.6,580.6,626.2
157.7,458.1,422.9
259.5,244.9,879.9
73.1,685.8,707.0
351.2,808.7,154.3
790.3,402.9,163.8
383.4,948.1,681.4
718.1,51.6,740.7
491.9,496.0,194.0
403.9,979.0,409.1
874.8,180.9,17.3
349.6,867.8,936.8
517.8,795.5,635.9
303.9,170.6,12.9
718.4,468.6,847.8
910.9,287.3,569.3
296.2,173.9,493.8
258.3,675.9,419.9
299.6,291.5,7.5
482.0,180.3,303.5
297.3,661.4,670.2
824.1,262.7,590.6
104.1,529.9,643.7
295.0,54.8,718.1
487.1,395.7,377.3
736.3,334.6,258.6
394.1,119.7,795.7
513.6,614.6,52.1
597.2,480.9,676.2
485.2,731.4,422.3
935.1,560.2,325.5
379.3,28.2,655.2
38.6,861.4,801.0
382.8,800.0,818.4
862.4,613.9,494.7
506.9,200.7,460.8
610.5,690.7,835.4
541.0,188.8,79.6
201.3,732.7,29.9
305.8,483.1,3.0
859.1,649.2,758.9
819.4,664.7,79.3
260.8,226.7,625.6
120.8,57.9,539.1
21.9,659.2,424.9
489.0,254.8,466.0
138.4,967.6,787.7
346.6,934.4,851.0
274.9,825.2,255.1
957.3,376.8,763.7
479.3,985.0,50.4
980.9,890.6,17.2
301.2,142.7,604.6
653.3,531.6,235.4
697.5,800.5,724.4
177.1,985.9,513.4
899.9,166.9,496.8
147.8,187.0,193.3
140.8,799.2,7.1
657.5,653.8,933.7
447.4,153.0,737.1
421.6,934.5,705.9
300.7,457.5,149.0
245.6,541.9,8.4
210.3,473.2,83.9
536.2,708.3,452.9
637.6,346.0,134.7
297.1,865.7,976.5
523.2,964.0,201.8
527.8,61.9,865.4
43.9,873.0,551.6
233.0,377.2,130.9
904.2,476.8,288.4
47.1,535.8,858.3
82.4,126.1,149.5
637.1,786.6,885.1
638.4,94.0,916.7
466.9,750.2,588.1
772.4,233.3,827.4
548.8,551.2,522.3
387.8,80.5,148.5
811.3,410.4,865.3
104.3,319.6,483.7
991.7,942.3,871.5
196.2,961.7,993.4
971.7,264.0,845.9
401.7,376.0,902.7
444.2,974.8,483.9
593.7,409.9,957.2
103.6,990.8,999.4
435.4,705.7,438.7
331.6,445.4,770.3
33.5,750.5,424.7
152.0,919.2,131.2
578.4,497.1,987.9
13.5,716.7,166.8
129.9,391.9,58.6
499.6,332.6,27.7
565.8,321.2,50.9
700.1,138.2,918.3
352.4,311.0,699.1
331.1,510.5,961.9
770.7,617.7,84.3
146.1,640.6,416.1
53.1,139.7,472.1
499.4,430.2,616.2
190.6,172.7,731.8
482.6,738.8,692.8
116.0,1.5,351.3
804.5,232.8,428.5
299.2,73.8,425.1
552.9,332.5,973.4
364.9,871.4,505.1
261.7,555.1,422.9
755.9,464.5,163.9
566.9,655.1,477.1
599.7,765.8,199.2
312.5,376.3,642.8
114.2,118.6,922.8
257.3,740.5,318.7
805.0,72.8,953.6
215.8,686.0,728.0
526.9,143.2,697.5
423.8,873.1,130.9
741.9,797.5,619.2
79.4,205.5,204.6
539.9,494.4,223.0
292.1,286.0,853.0
421.8,217.3,978.9
488.7,840.3,582.4
341.5,905.9,822.0
826.0,968.2,355.7
788.7,392.6,644.5
966.8,684.4,355.0
626.2,762.6,548.0
61.8,687.5,762.7
908.7,795.6,57.7
65.6,276.8,517.0
155.7,709.0,767.3
587.4,36.8,987.0
693.3,409.4,834.3
372.5,796.4,682.7
175.3,860.9,819.9
67.3,50.0,984.3
311.2,556.4,718.5
755.1,540.4,111.1
232.4,816.6,318.7
439.3,889.1,105.3
548.2,890.9,700.7
706.8,860.4,931.1
784.0,344.0,603.2
551.0,160.1,267.9
379.2,415.7,214.7
404.0,847.3,646.1
548.1,592.5,812.1
492.0,676.0,672.4
911.4,352.3,928.3
744.6,53.7,799.5
801.6,128.6,969.3
977.8,154.1,438.4
368.9,406.5,254.6
503.4,815.7,343.3
450.6,75.8,215.4
483.0,799.1,232.3
674.4,709.2,627.1
233.2,541.0,128.1
417.6,757.2,924.5
499.8,50.5,362.0
62.2,49.8,852.1
214.8,470.4,631.9
59.5,418.7,927.6
985.5,266.3,816.1
576.1,942.4,424.3
347.5,798.1,808.6
263.1,312.7,419.4
483.6,45.7,154.7
873.8,339.8,908.3
597.4,832.0,61.3
41.0,985.5,796.0
524.7,279.6,299.0
792.7,634.6,569.6
467.5,881.1,14.6
69.3,245.9,631.2
348.1,757.1,247.5
481.7,493.3,292.7
553.8,53.9,406.8
289.5,94.7,321.8
558.8,701.7,142.8
519.4,498.3,23.2
289.1,242.6,474.4
328.2,181.2,226.1
612.1,351.7,472.9
796.5,351.5,597.9
703.1,456.0,201.0
426.2,660.0,452.0
937.9,126.7,949.4
43.8,60.7,462.7
143.2,995.5,866.2
842.2,907.3,597.2
15.5,8.1,817.8
186.8,570.3,325.2
11.7,914.5,74.0
921.9,84.2,309.3
341.9,659.4,348.7
115.1,459.2,636.0
76.7,8.1,729.3
720.9,370.1,322.2
881.4,383.1,109.3
404.3,511.0,476.0
